Feature, Turned, Value
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions, apiVersion,
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions_serverAddressByClientCIDRs, apiVersion_serverAddressByClientCIDRs,
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions_serverAddressByClientCIDRs_clientCIDR, apiVersion_serverAddressByClientCIDRs_clientCIDR,
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions_serverAddressByClientCIDRs_serverAddress, apiVersion_serverAddressByClientCIDRs_serverAddress,
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions_versions, apiVersion_versions,
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions_versions_StringValue, apiVersion_versions_StringValue,
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions_apiVersion, apiVersion_apiVersion,
io_k8s_apimachinery_pkg_apis_meta_v1_APIVersions_kind, apiVersion_kind,
io_k8s_api_core_v1_Pod_apiVersion, Pod_apiVersion,
io_k8s_api_core_v1_Pod_kind, Pod_kind, Pod
io_k8s_api_core_v1_Pod_metadata, Pod_metadata,
io_k8s_api_core_v1_Pod_metadata_name, Pod_metadata_name,
io_k8s_api_core_v1_Pod_spec, Pod_spec,
io_k8s_api_core_v1_Pod_spec_containers, Pod_spec_containers,
io_k8s_api_core_v1_Pod_spec_containers_name, Pod_spec_containers_name,
io_k8s_api_core_v1_Pod_spec_containers_image, Pod_spec_containers_image,
io_k8s_api_core_v1_Pod_spec_containers_ports, Pod_spec_containers_ports,
io_k8s_api_core_v1_Pod_spec_containers_ports_containerPort, Pod_spec_containers_ports_containerPort,